79368|79368|sb;24;16194
79432|79432|sb;24;16317
79354|79354|sb;24;16177
79340|79340|sb;24;16140r
79426|79426|sb;24;16290
79397|79397|sb;24;16237
79383|79383|sb;24;16216
79618|79618|t.mom.louvre;;403
79156|79156|o.wadi.hamm;;30
79630|79630|t.mom.louvre;;430
79624|79624|t.mom.louvre;;418
79142|79142|sb;22;15656
79817|79817|t.mom.louvre;;753
79803|79803|t.mom.louvre;;704
79195|79195|sb;22;15727
79181|79181|o.wadi.hamm;;55
79778|79778|t.mom.louvre;;662
79022|79022|sb;22;15440
79744|79744|t.mom.louvre;;617
79988|79988|t.mom.louvre;;1053
79750|79750|t.mom.louvre;;628
79036|79036|sb;22;15454
79963|79963|t.mom.louvre;;1028
79977|79977|t.mom.louvre;;1042
79787|79787|t.mom.louvre;;675
79793|79793|t.mom.louvre;;687
79208|79208|sb;22;15806
79546|79546|t.mom.louvre;;279
79220|79220|sb;24;15880
79234|79234|sb;24;15900
79552|79552|t.mom.louvre;;286
79585|79585|t.mom.louvre;;341
79591|79591|t.mom.louvre;;350
79590|79590|t.mom.louvre;;349
79584|79584|t.mom.louvre;;339
79235|79235|sb;24;15902
79553|79553|t.mom.louvre;;287
79547|79547|t.mom.louvre;;280
79221|79221|sb;24;15881
79209|79209|sb;22;15807
79792|79792|t.mom.louvre;;686
79786|79786|t.mom.louvre;;674
79976|79976|t.mom.louvre;;1041
79962|79962|t.mom.louvre;;1027
79751|79751|t.mom.louvre;;631
79989|79989|t.mom.louvre;;1054
79037|79037|sb;22;15455
79023|79023|sb;22;15441
79745|79745|t.mom.louvre;;618
79779|79779|t.mom.louvre;;663
79180|79180|o.wadi.hamm;;54
79194|79194|sb;22;15725
79802|79802|t.mom.louvre;;702
79816|79816|t.mom.louvre;;748
79625|79625|t.mom.louvre;;419
79143|79143|sb;22;15657
79157|79157|o.wadi.hamm;;31
79631|79631|t.mom.louvre;;432
79619|79619|t.mom.louvre;;404
79382|79382|sb;24;16215
79396|79396|sb;24;16236
79341|79341|basp;58;387
79427|79427|sb;24;16291
79433|79433|sb;24;16318
79355|79355|sb;24;16178
79369|79369|sb;24;16195
79419|79419|sb;24;16272
79425|79425|sb;24;16289
79343|79343|sb;24;16142
79357|79357|sb;24;16180
79431|79431|sb;24;16316
79380|79380|sb;24;16210
79394|79394|sb;24;16234
79169|79169|o.wadi.hamm;;43
79141|79141|sb;22;15655
79627|79627|t.mom.louvre;;424
79633|79633|t.mom.louvre;;436
79155|79155|o.wadi.hamm;;29
79800|79800|t.mom.louvre;;700
79814|79814|t.mom.louvre;;745
79182|79182|o.wadi.hamm;;56
79828|79828|t.mom.louvre;;769
79196|79196|sb;22;15730r
79009|79009|sb;22;15427
79035|79035|sb;22;15453
79753|79753|t.mom.louvre;;633
79747|79747|t.mom.louvre;;620
79021|79021|sb;22;15439
79974|79974|t.mom.louvre;;1039
79960|79960|t.mom.louvre;;1025
79790|79790|t.mom.louvre;;678
79948|79948|t.mom.louvre;;1013
79784|79784|t.mom.louvre;;672
79579|79579|t.mom.louvre;;333
79551|79551|t.mom.louvre;;285
79237|79237|sb;24;15906
79223|79223|sb;24;15884
79545|79545|t.mom.louvre;;278
79592|79592|t.mom.louvre;;354
79586|79586|t.mom.louvre;;342
79587|79587|t.mom.louvre;;344
79593|79593|t.mom.louvre;;355
79222|79222|sb;24;15882
79544|79544|t.mom.louvre;;276
79550|79550|t.mom.louvre;;284
79236|79236|sb;24;15903
79578|79578|t.mom.louvre;;332
79785|79785|t.mom.louvre;;673
79949|79949|t.mom.louvre;;1014
79791|79791|t.mom.louvre;;679
79961|79961|t.mom.louvre;;1026
79975|79975|t.mom.louvre;;1040
79746|79746|t.mom.louvre;;619
79020|79020|sb;22;15438
79034|79034|sb;22;15452
79752|79752|t.mom.louvre;;632
79008|79008|sb;22;15426
79829|79829|t.mom.louvre;;770
79197|79197|sb;22;15730v
79183|79183|o.wadi.hamm;;57
79815|79815|t.mom.louvre;;747
79801|79801|t.mom.louvre;;701
79632|79632|t.mom.louvre;;433
79154|79154|o.wadi.hamm;;28
79140|79140|sb;22;15654
79626|79626|t.mom.louvre;;423
79168|79168|o.wadi.hamm;;42
79395|79395|sb;24;16235
79381|79381|sb;24;16213
79356|79356|sb;24;16179
79430|79430|sb;24;16312
79424|79424|sb;24;16279
79342|79342|sb;24;16141
79418|79418|sb;24;16271
79346|79346|sb;24;16145
79420|79420|sb;24;16274
79434|79434|sb;24;16319
79352|79352|sb;24;16173
79408|79408|sb;24;16248
79385|79385|sb;24;16218
79622|79622|t.mom.louvre;;409
79144|79144|sb;22;15658
79150|79150|o.wadi.hamm;;24
79636|79636|t.mom.louvre;;441
79178|79178|o.wadi.hamm;;52
79839|79839|t.mom.louvre;;782
79187|79187|p.daris;;17
79193|79193|sb;22;15724
79805|79805|t.mom.louvre;;708
79811|79811|t.mom.louvre;;732
79756|79756|t.mom.louvre;;636
79030|79030|sb;22;15448
79024|79024|sb;22;15442
79742|79742|t.mom.louvre;;615
79018|79018|sb;22;15436
79795|79795|t.mom.louvre;;690
79781|79781|t.mom.louvre;;666
79959|79959|t.mom.louvre;;1024
79971|79971|t.mom.louvre;;1036
79965|79965|t.mom.louvre;;1030
79232|79232|sb;24;15897
79554|79554|t.mom.louvre;;288
79540|79540|t.mom.louvre;;265
79226|79226|sb;24;15890
79568|79568|t.mom.louvre;;309
79597|79597|t.mom.louvre;;361
79583|79583|t.mom.louvre;;338
79582|79582|t.mom.louvre;;337
79596|79596|t.mom.louvre;;360
79569|79569|t.mom.louvre;;310
79541|79541|t.mom.louvre;;267
79227|79227|sb;24;15891
79233|79233|sb;24;15898
79555|79555|t.mom.louvre;;290
